time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
1764604449.093,0.6568312644958496,-1.622133731842041,-1.1731055974960327,2.1290597915649414,1.4474773406982422,-0.3923105299472809,1.8637584447860718,-1.0965030193328857
1764604449.097,2.972555160522461,3.2496912479400635,2.9834840297698975,5.656911373138428,0.913405179977417,0.6289968490600586,-1.3464469909667969,0.4441654682159424
1764604449.101,5.900404453277588,5.968679428100586,6.214858055114746,5.133347988128662,2.468513011932373,-1.1282095909118652,1.3463612794876099,-0.5355905294418335
1764604449.105,7.589687824249268,7.855228424072266,5.2649922370910645,6.678007125854492,-0.5430163145065308,-1.659436821937561,-1.2570340633392334,-1.3145102262496948
1764604449.109,4.933468341827393,6.95780611038208,7.174178123474121,4.302356719970703,-0.30658644437789917,-1.238793969154358,-0.8568038940429688,-0.9670644998550415
1764604449.113,11.291752815246582,7.967922687530518,6.876372814178467,6.397833824157715,-0.9808759689331055,-0.39014309644699097,0.505789041519165,-1.8408259153366089
1764604449.117,13.896090507507324,11.035840034484863,12.324830055236816,8.553664207458496,-3.6678128242492676,-0.027094682678580284,-0.2783060669898987,-2.0256717205047607
1764604449.121,6.075833320617676,5.786910057067871,10.534066200256348,12.155223846435547,4.4162516593933105,-2.547112464904785,-1.767868995666504,3.942382574081421
1764604449.125,9.812629699707031,7.049780368804932,11.132929801940918,8.922399520874023,-0.8114295601844788,-1.6943644285202026,1.9566305875778198,-0.5191280841827393
1764604449.129,9.113359451293945,8.44951343536377,5.831737041473389,7.605816841125488,-4.146224498748779,0.20794343948364258,-0.1824585348367691,0.4838475286960602
1764604449.140,7.4472784996032715,10.415321350097656,6.4414544105529785,11.745586395263672,1.7463059425354004,-3.194500684738159,-0.38974514603614807,1.1937243938446045
1764604449.144,4.937853813171387,1.911850094795227,2.879863739013672,6.331767559051514,-0.16533590853214264,0.39940184354782104,-3.985654354095459,0.2628425359725952
1764604449.148,4.648597240447998,4.160271167755127,4.738530158996582,3.0203113555908203,-1.598087191581726,-2.5936646461486816,1.8373873233795166,1.9636539220809937
1764604449.152,-1.9636695384979248,2.036555290222168,0.4767215847969055,-0.2930831015110016,-4.646734714508057,0.5583701729774475,-1.3102564811706543,-2.072239398956299
1764604449.156,-2.214366912841797,-0.4058706760406494,-2.0581681728363037,0.6219148635864258,-3.1335256099700928,0.257753849029541,3.5939605236053467,-1.3908119201660156
1764604449.160,-0.05783160403370857,-3.777430295944214,-8.067606925964355,-5.519210338592529,-0.1904687136411667,-0.5682731866836548,0.34849733114242554,0.06114545837044716
1764604449.164,-4.160339832305908,-6.310024738311768,-6.06462287902832,-7.574328422546387,-2.726557731628418,-0.2646578252315521,-4.840294361114502,1.4237720966339111
1764604449.168,-7.0392279624938965,-5.978933334350586,-11.076228141784668,-6.666193962097168,0.7271320223808289,4.059392929077148,0.7775643467903137,1.1848093271255493
1764604449.172,-8.242904663085938,-7.007578372955322,-7.044844150543213,-6.5504937171936035,1.0134412050247192,3.2544164657592773,1.2143914699554443,0.05649793893098831
1764604449.176,-10.090559959411621,-8.285147666931152,-9.033402442932129,-6.05520486831665,-2.027512311935425,-0.6792230606079102,1.7370390892028809,-4.351995468139648
1764604449.188,-10.707891464233398,-13.756715774536133,-9.599178314208984,-9.812167167663574,3.0688018798828125,1.3712016344070435,-1.742436170578003,-1.3901313543319702
